kind,rank,world_size,size,latency,average_throughput,total_throughput
pfs,5,8,1GB,1.4617865085601807,875885056.269296,7007080450.154368
pfs,0,8,1GB,1.4630441665649414,875885056.269296,7007080450.154368
pfs,2,8,1GB,1.4207732677459717,875885056.269296,7007080450.154368
pfs,1,8,1GB,1.460230827331543,875885056.269296,7007080450.154368
pfs,4,8,1GB,1.4612746238708496,875885056.269296,7007080450.154368
pfs,7,8,1GB,1.4633207321166992,875885056.269296,7007080450.154368
pfs,6,8,1GB,1.4642751216888428,875885056.269296,7007080450.154368
pfs,3,8,1GB,1.459409236907959,875885056.269296,7007080450.154368
minio,4,16,1B,0.013074159622192383,759.8856210735339,12090.7212134742
minio,0,16,1B,0.012995243072509766,759.3022987781096,12090.7212134742
minio,7,16,1B,0.013701200485229492,758.8189745904724,12090.7212134742
minio,3,16,1B,0.013374805450439453,752.0357696122531,12090.7212134742
minio,8,16,1B,0.01331472396850586,753.4857421751649,12090.7212134742
minio,6,16,1B,0.01337122917175293,760.2356144507885,12090.7212134742
minio,9,16,1B,0.013047456741333008,757.3523356762628,12090.7212134742
minio,14,16,1B,0.013286113739013672,745.2692309853318,12090.7212134742
minio,12,16,1B,0.013300657272338867,758.1356541872611,12090.7212134742
minio,1,16,1B,0.013409852981567383,748.9358282708556,12090.7212134742
minio,5,16,1B,0.014302730560302734,760.0689509378101,12090.7212134742
minio,11,16,1B,0.012520074844360352,748.2358415163466,12090.7212134742
minio,13,16,1B,0.013412952423095703,760.7356049897235,12090.7212134742
minio,15,16,1B,0.013066291809082031,754.7357185225026,12090.7212134742
minio,2,16,1B,0.013153791427612305,755.6357014925857,12090.7212134742
minio,10,16,1B,0.013234138488769531,757.8523262151979,12090.7212134742
minio,7,16,1KB,0.001558065414428711,749032.2547821085,12090846.890778689
minio,2,16,1KB,0.0016014575958251953,752198.8464294974,12090846.890778689
minio,8,16,1KB,0.0017952919006347656,756982.0664442375,12090846.890778689
minio,9,16,1KB,0.0017275810241699219,751115.5387606538,12090846.890778689
minio,14,16,1KB,0.0014472007751464844,755198.7753586026,12090846.890778689
minio,5,16,1KB,0.0016705989837646484,757482.0545990884,12090846.890778689
minio,11,16,1KB,0.0013952255249023438,754015.4700587889,12090846.890778689
minio,10,16,1KB,0.0015726089477539062,758265.3693750214,12090846.890778689
minio,13,16,1KB,0.0015747547149658203,758248.7031031931,12090846.890778689
minio,15,16,1KB,0.0014061927795410156,757682.0498610287,12090846.890778689
minio,4,16,1KB,0.001539468765258789,755598.7658824833,12090846.890778689
minio,0,16,1KB,0.0018036365509033203,757632.0510455436,12090846.890778689
minio,3,16,1KB,0.0016374588012695312,749632.2405679295,12090846.890778689
minio,6,16,1KB,0.0016303062438964844,755082.1114558041,12090846.890778689
minio,12,16,1KB,0.0016777515411376953,760998.6379548729,12090846.890778689
minio,1,16,1KB,0.001615285873413086,761681.9550998358,12090846.890778689
minio,4,16,1MB,0.003970146179199219,350135759.8960299,5598772296.609657
minio,0,16,1MB,0.004791736602783203,350535743.6285971,5598772296.609657
minio,7,16,1MB,0.004653215408325195,349385790.39746636,5598772296.609657
minio,2,16,1MB,0.004572629928588867,350369083.7400274,5598772296.609657
minio,3,16,1MB,0.0043239593505859375,350385749.7288844,5598772296.609657
minio,8,16,1MB,0.00416874885559082,351019057.3054492,5598772296.609657
minio,6,16,1MB,0.003941774368286133,350152425.88488686,5598772296.609657
minio,9,16,1MB,0.00411677360534668,348419163.0437622,5598772296.609657
minio,14,16,1MB,0.004404544830322266,347519199.645486,5598772296.609657
minio,12,16,1MB,0.00510096549987793,350269087.8068856,5598772296.609657
minio,1,16,1MB,0.004925251007080078,349985765.9963172,5598772296.609657
minio,5,16,1MB,0.004316091537475586,350435747.6954553,5598772296.609657
minio,11,16,1MB,0.00406193733215332,350319085.7734565,5598772296.609657
minio,10,16,1MB,0.004375457763671875,349135800.56461185,5598772296.609657
minio,13,16,1MB,0.004263877868652344,349835772.09660447,5598772296.609657
minio,15,16,1MB,0.004448652267456055,350869063.40573645,5598772296.609657
minio,4,16,10MB,0.029508590698242188,367070070.52333987,5960931354.050152
minio,0,16,10MB,0.030139446258544922,374568097.3837803,5960931354.050152
minio,7,16,10MB,0.02989649772644043,374401474.5646594,5960931354.050152
minio,2,16,10MB,0.029613733291625977,373401737.64993405,5960931354.050152
minio,3,16,10MB,0.029336929321289062,371902132.2778459,5960931354.050152
minio,8,16,10MB,0.0297243595123291,373568360.46905494,5960931354.050152
minio,6,16,10MB,0.02913188934326172,371568886.63960415,5960931354.050152
minio,9,16,10MB,0.029680490493774414,372068755.09696686,5960931354.050152
minio,14,16,10MB,0.0294187068939209,370735772.5439997,5960931354.050152
minio,12,16,10MB,0.029592514038085938,372901869.19257134,5960931354.050152
minio,1,16,10MB,0.029056549072265625,371402263.82048327,5960931354.050152
minio,5,16,10MB,0.029958009719848633,372901869.19257134,5960931354.050152
minio,11,16,10MB,0.029411792755126953,374401474.5646594,5960931354.050152
minio,13,16,10MB,0.02959275245666504,371069018.18224144,5960931354.050152
minio,15,16,10MB,0.027853727340698242,374734720.20290124,5960931354.050152
minio,10,16,10MB,0.028236865997314453,374234851.74553853,5960931354.050152
minio,4,16,100MB,0.2630455493927002,370674561.0343207,5751273458.20067
minio,0,16,100MB,0.2626376152038574,372336778.79680645,5751273458.20067
minio,7,16,100MB,0.2633094787597656,370674561.0343207,5751273458.20067
minio,2,16,100MB,0.26368069648742676,372336778.79680645,5751273458.20067
minio,3,16,100MB,0.2630610466003418,372336778.79680645,5751273458.20067
minio,8,16,100MB,0.262768030166626,372336778.79680645,5751273458.20067
minio,6,16,100MB,0.2813112735748291,352390165.6469775,5751273458.20067
minio,9,16,100MB,0.2801649570465088,307510286.05986243,5751273458.20067
minio,14,16,100MB,0.2811460494995117,350727947.88449174,5751273458.20067
minio,12,16,100MB,0.26314663887023926,372336778.79680645,5751273458.20067
minio,1,16,100MB,0.2800710201263428,352390165.6469775,5751273458.20067
minio,5,16,100MB,0.27864789962768555,370674561.0343207,5751273458.20067
minio,11,16,100MB,0.26450157165527344,372336778.79680645,5751273458.20067
minio,10,16,100MB,0.2769045829772949,325794681.4472056,5751273458.20067
minio,13,16,100MB,0.28167033195495605,352390165.6469775,5751273458.20067
minio,15,16,100MB,0.2640414237976074,364025689.98437774,5751273458.20067
minio,4,16,1GB,2.754312515258789,343908800.40666646,5699060121.024758
minio,0,16,1GB,2.7544021606445312,360285409.9498411,5699060121.024758
minio,7,16,1GB,2.7597999572753906,278402362.2339681,5699060121.024758
minio,2,16,1GB,2.7541487216949463,376662019.49301565,5699060121.024758
minio,3,16,1GB,2.752946138381958,343908800.40666646,5699060121.024758
minio,8,16,1GB,2.7538466453552246,376662019.49301565,5699060121.024758
minio,6,16,1GB,2.755319833755493,376662019.49301565,5699060121.024758
minio,9,16,1GB,2.9389872550964355,360285409.9498411,5699060121.024758
minio,14,16,1GB,2.7546017169952393,343908800.40666646,5699060121.024758
minio,12,16,1GB,2.753591537475586,327532190.8634919,5699060121.024758
minio,1,16,1GB,2.7556092739105225,376662019.49301565,5699060121.024758
minio,5,16,1GB,2.7544353008270264,376662019.49301565,5699060121.024758
minio,11,16,1GB,2.7543091773986816,376662019.49301565,5699060121.024758
minio,10,16,1GB,2.9126853942871094,327532190.8634919,5699060121.024758
minio,13,16,1GB,2.7536139488220215,376662019.49301565,5699060121.024758
minio,15,16,1GB,2.8023746013641357,376662019.49301565,5699060121.024758
pfs,4,16,1B,0.002539396286010742,1103.516639710079,17678.682562921378
pfs,0,16,1B,0.0024261474609375,1107.3999142985592,17678.682562921378
pfs,7,16,1B,0.0025892257690429688,1097.6500617910017,17678.682562921378
pfs,2,16,1B,0.002553701400756836,1112.6165020504661,17678.682562921378
pfs,3,16,1B,0.0026397705078125,1100.133357557884,17678.682562921378
pfs,8,16,1B,0.0024309158325195312,1115.416459693662,17678.682562921378
pfs,6,16,1B,0.0027010440826416016,1100.9000126268543,17678.682562921378
pfs,9,16,1B,0.002416849136352539,1092.6668038426947,17678.682562921378
pfs,14,16,1B,0.002809286117553711,1106.8665890331886,17678.682562921378
pfs,12,16,1B,0.002471923828125,1104.3832932663065,17678.682562921378
pfs,1,16,1B,0.002638101577758789,1107.5499120294448,17678.682562921378
pfs,5,16,1B,0.0026564598083496094,1111.7665149087816,17678.682562921378
pfs,11,16,1B,0.002588987350463867,1097.2667342565167,17678.682562921378
pfs,10,16,1B,0.0026636123657226562,1109.7665451636417,17678.682562921378
pfs,13,16,1B,0.002592802047729492,1110.5998658907833,17678.682562921378
pfs,15,16,1B,0.002672433853149414,1100.1833568015124,17678.682562921378
pfs,4,16,1KB,0.0014164447784423828,1124689.2620620928,18013211.083275627
pfs,0,16,1KB,0.0014226436614990234,1128489.1694721095,18013211.083275627
pfs,7,16,1KB,0.0016067028045654297,1119306.0598979024,18013211.083275627
pfs,2,16,1KB,0.0015845298767089844,1134755.683446523,18013211.083275627
pfs,3,16,1KB,0.0012416839599609375,1123739.2852095885,18013211.083275627
pfs,8,16,1KB,0.0012035369873046875,1133439.0488614733,18013211.083275627
pfs,6,16,1KB,0.0013744831085205078,1119222.7285950512,18013211.083275627
pfs,9,16,1KB,0.001279592514038086,1110272.9466688277,18013211.083275627
pfs,14,16,1KB,0.0016021728515625,1125355.9124849027,18013211.083275627
pfs,12,16,1KB,0.0015749931335449219,1127972.5153944318,18013211.083275627
pfs,1,16,1KB,0.001565694808959961,1129172.4861554897,18013211.083275627
pfs,5,16,1KB,0.0015497207641601562,1140588.87464611,18013211.083275627
pfs,11,16,1KB,0.0013899803161621094,1113822.8601702906,18013211.083275627
pfs,10,16,1KB,0.0015752315521240234,1131589.0939381758,18013211.083275627
pfs,13,16,1KB,0.0011258125305175781,1132939.0610443659,18013211.083275627
pfs,15,16,1KB,0.0015978813171386719,1117856.095228291,18013211.083275627
pfs,7,16,1MB,0.002093791961669922,588819133.3479869,9470388278.410984
pfs,5,16,1MB,0.0024161338806152344,595785632.0102983,9470388278.410984
pfs,11,16,1MB,0.003007650375366211,589285788.7607734,9470388278.410984
pfs,13,16,1MB,0.003283977508544922,592769038.0919291,9470388278.410984
pfs,4,16,1MB,0.0030279159545898438,590785752.5875869,9470388278.410984
pfs,0,16,1MB,0.0032181739807128906,591569067.0304782,9470388278.410984
pfs,3,16,1MB,0.0032622814178466797,593435688.6816239,9470388278.410984
pfs,6,16,1MB,0.002869129180908203,592035722.4432647,9470388278.410984
pfs,14,16,1MB,0.0034596920013427734,590119101.9978919,9470388278.410984
pfs,12,16,1MB,0.0027055740356445312,592152386.2964613,9470388278.410984
pfs,1,16,1MB,0.002780914306640625,594852321.1847255,9470388278.410984
pfs,2,16,1MB,0.0026407241821289062,595085648.8911186,9470388278.410984
pfs,8,16,1MB,0.001964092254638672,594185670.5950307,9470388278.410984
pfs,9,16,1MB,0.002951383590698242,586569187.6077669,9470388278.410984
pfs,10,16,1MB,0.003195524215698242,592302382.6791426,9470388278.410984
pfs,15,16,1MB,0.003015279769897461,590635756.2049055,9470388278.410984
pfs,4,16,10MB,0.01857471466064453,601236880.5593573,9620623288.617897
pfs,0,16,10MB,0.018747329711914062,600903600.6920849,9620623288.617897
pfs,7,16,10MB,0.018706798553466797,599070561.4220868,9620623288.617897
pfs,2,16,10MB,0.018810510635375977,604902959.0993533,9620623288.617897
pfs,3,16,10MB,0.018405437469482422,601570160.4266297,9620623288.617897
pfs,8,16,10MB,0.01834845542907715,603569839.6302638,9620623288.617897
pfs,6,16,10MB,0.01839280128479004,600570320.8248125,9620623288.617897
pfs,9,16,10MB,0.019049406051635742,597904081.8866335,9620623288.617897
pfs,14,16,10MB,0.01860499382019043,601070240.6257211,9620623288.617897
pfs,12,16,10MB,0.01862645149230957,600403680.8911763,9620623288.617897
pfs,1,16,10MB,0.018631458282470703,602570000.0284467,9620623288.617897
pfs,5,16,10MB,0.018703699111938477,601903440.2939019,9620623288.617897
pfs,11,16,10MB,0.018790006637573242,600403680.8911763,9620623288.617897
pfs,10,16,10MB,0.0183560848236084,602903279.895719,9620623288.617897
pfs,13,16,10MB,0.018725872039794922,601236880.5593573,9620623288.617897
pfs,15,16,10MB,0.018577098846435547,600403680.8911763,9620623288.617897
pfs,4,16,100MB,0.16950583457946777,592287643.9029999,9559788769.288307
pfs,0,16,100MB,0.1874229907989502,602270019.923837,9559788769.288307
pfs,7,16,100MB,0.17711377143859863,597278831.9134184,9559788769.288307
pfs,2,16,100MB,0.18694734573364258,600606290.5870308,9559788769.288307
pfs,3,16,100MB,0.18056273460388184,598942561.2502246,9559788769.288307
pfs,8,16,100MB,0.1759176254272461,593951373.239806,9559788769.288307
pfs,6,16,100MB,0.18825101852416992,595615102.5766122,9559788769.288307
pfs,9,16,100MB,0.18730664253234863,597278831.9134184,9559788769.288307
pfs,14,16,100MB,0.18970918655395508,593951373.239806,9559788769.288307
pfs,12,16,100MB,0.18875837326049805,603933749.2606431,9559788769.288307
pfs,1,16,100MB,0.18950676918029785,597278831.9134184,9559788769.288307
pfs,5,16,100MB,0.17197537422180176,602270019.923837,9559788769.288307
pfs,11,16,100MB,0.1810016632080078,598942561.2502246,9559788769.288307
pfs,10,16,100MB,0.18805146217346191,598942561.2502246,9559788769.288307
pfs,13,16,100MB,0.18901801109313965,592287643.9029999,9559788769.288307
pfs,15,16,100MB,0.1768655776977539,593951373.239806,9559788769.288307
pfs,4,16,1GB,1.7070367336273193,590144985.8514646,9507891438.71804
pfs,0,16,1GB,1.6889288425445557,606537902.1251165,9507891438.71804
pfs,7,16,1GB,1.7021582126617432,590144985.8514646,9507891438.71804
pfs,2,16,1GB,1.6931474208831787,590144985.8514646,9507891438.71804
pfs,3,16,1GB,1.6952588558197021,606537902.1251165,9507891438.71804
pfs,8,16,1GB,1.7052345275878906,590144985.8514646,9507891438.71804
pfs,6,16,1GB,1.7133049964904785,590144985.8514646,9507891438.71804
pfs,9,16,1GB,1.6901183128356934,590144985.8514646,9507891438.71804
pfs,14,16,1GB,1.6905441284179688,590144985.8514646,9507891438.71804
pfs,12,16,1GB,1.7051255702972412,606537902.1251165,9507891438.71804
pfs,1,16,1GB,1.6944341659545898,606537902.1251165,9507891438.71804
pfs,5,16,1GB,1.6950170993804932,590144985.8514646,9507891438.71804
pfs,11,16,1GB,1.6922612190246582,590144985.8514646,9507891438.71804
pfs,10,16,1GB,1.7064425945281982,590144985.8514646,9507891438.71804
pfs,13,16,1GB,1.704286813735962,590144985.8514646,9507891438.71804
pfs,15,16,1GB,1.712639570236206,590144985.8514646,9507891438.71804
