,date,idle_cpus,partially_idle_cpus,partially_free_mem,free_mem,allocated_nodes,idle_nodes,other_nodes,total_nodes
45,28-03-22 23:23:23,0.025076142131979694,0.025076142131979694,0.7607799071565668,0.026737756358092727,6753,213,275,7241
46,19-03-22 12:36:35,0.15356047700170358,0.15356047700170358,0.6237455337103096,0.10182969683079751,6279,660,302,7241
47,27-03-22 20:49:45,0.007114103275957801,0.007114103275957801,0.764048307543563,0.007027527549201473,6707,50,484,7241
48,30-03-22 14:41:01,0.1492037732021503,0.1492037732021503,0.648691353368007,0.1862649164013625,5548,1435,258,7241
49,26-03-22 12:26:01,0.011353238214660928,0.011353238214660928,0.7968569628375506,0.00991231008822678,6878,79,284,7241
50,25-03-22 06:52:25,0.06911585778018116,0.06911585778018116,0.7574921435482904,0.08120154046393739,6331,647,263,7241
51,20-03-22 06:25:20,0.2513853731955942,0.2513853731955942,0.6598978655027941,0.13041788960977155,6079,829,333,7241
52,18-03-22 07:50:00,0.08022287862513426,0.08022287862513426,0.7507137089371078,0.06430820161361611,6484,550,207,7241
53,30-03-22 21:28:02,0.2154143496541435,0.2154143496541435,0.578511277998339,0.26890879982186977,4881,2069,291,7241
54,27-03-22 23:00:51,0.005455177206393329,0.005455177206393329,0.7693034667470324,0.004252452290911212,6721,32,488,7241
55,19-03-22 07:07:22,0.2247053629045953,0.2247053629045953,0.5644400279017953,0.1678229658594114,5865,1091,285,7241
56,25-03-22 22:22:41,0.009929316728374285,0.009929316728374285,0.8222250407141822,0.007955346560824004,6949,64,228,7241
57,28-03-22 05:15:39,0.13303183162289095,0.13303183162289095,0.6962084242202302,0.06301268834153306,6285,460,496,7241
58,27-03-22 16:08:53,0.044027989469308575,0.044027989469308575,0.7123489441035419,0.05150463701960812,6385,385,471,7241
59,23-03-22 03:06:15,0.07243385885377901,0.07243385885377901,0.7483840069440398,0.0766032557469984,6289,687,265,7241
60,21-03-22 11:57:42,0.01571788413098237,0.01571788413098237,0.8020448798369909,0.01613419692162083,6895,134,212,7241
